State,year,Insurance,MedianIncome,MeanIncome,Value_Total,Value_Urban,Value_Rural,UrbanPop,Proportion_Rural,pop_18plus,Medicaid,SCHIZOFLG_prev,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75_79,age80_84,age85_over,total_age,prop_20_24,prop_25_29,prop_30_34,prop_35_39,prop_40_44,prop_45_49,prop_50_54,prop_55_59,prop_60_64,prop_65_69,prop_70_74,prop_75_79,prop_80_84,prop_85_over,white,black,american_indian,asian,native_hawaiian,some_other,prop_white,prop_black,prop_american_indian,prop_asian,prop_native_hawaiian,prop_some_other,mar_frac,ment_frac,frac_9th_12_nodiploma,frac_associate,frac_bachelor,frac_grad_prof,frac_hs_or_higher,frac_less9,state_id
california,2013,0.828,60190,85707,39538223,37259490,2278733,0.9423663273890686,0.057633672610931455,30476517,1,0.258475999419048,2694636,3084036,2923877,2710180,2523723,2537197,2501958,2485487,2254188,1865387,1404993,951622,657751,764744,29359779,0.09177984616301096,0.10504288877651292,0.09958784090302587,0.09230927794109077,0.0859585148784669,0.0864174420386475,0.08521719458446878,0.0846561889992428,0.07677809836375131,0.06353545781117767,0.047854345225146276,0.03241243743694392,0.022403131849187283,0.026047335029327025,16296122,2237044,631016,6085947,157263,8370596,0.41216121422553564,0.056579275199090256,0.015959644923850016,0.1539256582168602,0.00397749286810386,0.21170895818964852,0.17318251951166205,0.1292798648874476,0.07194943601090008,0.07964806339122202,0.21619336524840688,0.13095920768172892,0.8392456398977497,0.08880492409135027,4
maine,2013,0.888,46974,62579,1362359,526309,836050,0.38632181385376396,0.613678186146236,1083273,1,0.07732055033306356,75117,80364,80556,77768,76088,85408,94872,106687,104075,94309,70157,46261,31420,34420,1057502,0.07103248977306899,0.07599418251691249,0.07617574245722467,0.0735393408239417,0.07195069134621022,0.08076391344886345,0.08971330550675082,0.10088586120877313,0.09841588952077632,0.08918091880677294,0.0663421913150046,0.04374554374365249,0.029711527732335256,0.03254840179971291,1237041,25752,7885,16798,443,9730,0.9080139669499743,0.018902506608023287,0.005787754916288585,0.012330083333394502,3.251712654300372e-4,0.007142023504817747,0.20770387520043423,0.15785494515233003,0.04510146225766884,0.10220229339820947,0.20332761595504817,0.12157046371839961,0.9322821500735455,0.02261638766878566,14
nevada,2013,0.7929999999999999,51230,67949,3104614,2921203,183411,0.9409230905999909,0.05907690940000915,2312576,1,0.21763719333827372,182581,225061,218691,206217,196878,199256,194479,196759,178459,163738,131291,87253,50385,45353,2276401,0.08020599182657186,0.09886702738225822,0.09606875062873368,0.09058904823886477,0.08648651973004756,0.08753115114604149,0.0854326632258552,0.08643424423025645,0.07839523880019382,0.07192845197309261,0.05767481212668594,0.03832936288465872,0.022133622327524895,0.019923115479214777,1588463,304739,43932,272703,25011,435757,0.5116458922107547,0.09815680789946835,0.014150551405102213,0.0878379727721385,0.00805607395959691,0.14035786735484668,0.1647513422261582,0.12496886588808324,0.07739203943032352,0.08413282899198594,0.16644458453926317,0.08811263623425128,0.8691391810184257,0.053468779551250824,19
michigan,2013,0.89,48273,65134,10077331,7404258,2673073,0.734743951548282,0.265256048451718,7785662,1,NA,692245,681417,607208,597347,568240,625249,663337,711025,687010,574807,432985,290291,193922,220836,7545919,0.09173766641279876,0.0903027185953096,0.08046839622847794,0.07916159714939956,0.07530428036664587,0.08285922496650176,0.08790672150072112,0.09422642888162462,0.0910439139354663,0.07617455209895574,0.057380022234534984,0.03846993321820709,0.025698924146946182,0.029265620264410472,7444974,1376579,61261,334300,3051,221851,0.7387843070749587,0.13660154658014112,0.006079089790739235,0.0331734662680029,3.0275873641542585e-4,0.022014856910029055,0.19381781536367748,0.14616611920733266,0.05974386876294379,0.09614215674687766,0.1825469084172956,0.11731138656434491,0.9129936731744172,0.027262458062639106,15
arizona,2013,0.8290000000000001,48510,66389,7151502,6385230,766272,0.8928515995660772,0.10714840043392283,5382780,1,0.16446117274167987,491151,513314,473473,452699,429416,429475,421470,436015,427990,399549,330049,240633,151588,140385,5337207,0.09202397433713926,0.09617652079074317,0.08871175504341502,0.08481945706808823,0.08045706302940846,0.08046811750040798,0.0789682693588613,0.08169347750611884,0.08018988208626722,0.07486106497274699,0.0618392728631286,0.04508594101746475,0.028402121184357285,0.0263030832418529,4322337,339150,319512,257430,16397,899870,0.6043956919819081,0.047423604160356805,0.044677607585091914,0.03599663399380997,0.0022928050638872785,0.12582951105935508,0.16571362753075547,0.1148105625717566,0.07002581067986008,0.08855716896379241,0.18803497111878195,0.11503581469136964,0.8786809314626162,0.05129325785752373,2
alabama,2013,0.8640000000000001,42849,59294,5024279,2900880,2123399,0.577372395123758,0.42262760487624196,3779274,0,0.25163677356881675,323960,334650,307217,301404,293852,308836,316996,331903,321714,273648,217393,145827,101941,88625,3667966,0.08832142936984694,0.0912358511502015,0.08375677419038235,0.08217197215023259,0.08011306538828332,0.08419816323270173,0.08642282943735029,0.09048693472076895,0.08770910090224392,0.07460483548647943,0.059267997576858675,0.03975691159623617,0.027792242349029408,0.024161892449384756,3220452,1296162,33625,76660,2984,137443,0.6409779393222391,0.2579797021622406,0.006692502546136471,0.0152579106375263,5.939160623842744e-4,0.02735576587207836,0.18601456258530077,0.09261037966551247,0.0912967859507429,0.08733955620893025,0.16347877366248745,0.09879467919614977,0.8687361804972838,0.03996703355197329,1
arkansas,2013,0.84,40511,55547,3011524,1670677,1340847,0.5547613102203403,0.44523868977965975,2298739,1,0.17836963599319455,201132,203558,191234,189573,181798,182188,184295,195694,188265,167043,129863,94430,59158,59623,2227854,0.09028060187067914,0.0913695421692804,0.08583776136138185,0.0850922008354228,0.08160229530301358,0.08177735165769391,0.0827231048354156,0.08783968787900823,0.08450508875357182,0.07497932988427429,0.05829062407141581,0.042386080955035654,0.026553804692767122,0.026762525731039825,2114512,453783,27177,51839,14533,136105,0.7021401788596073,0.1506821795210664,0.009024334522985704,0.017213543707438494,0.004825795842902132,0.04519472532843836,0.19532448007364037,0.08917932831869994,0.0813910343895216,0.07479417502745814,0.15228926315498623,0.08587610930359467,0.871536402131126,0.047072563479352375,3
delaware,2013,0.909,57846,76995,989948,817817,172131,0.8261211700008485,0.17387882999915147,757455,1,0.2761181434599156,58482,66200,62526,56984,54989,57853,64029,68761,66504,61528,47443,33937,20273,18843,738352,0.07920612390837975,0.08965913277136109,0.08468318633930699,0.07717728129672569,0.07447531800550415,0.07835422671029536,0.08671880078878368,0.09312766810410211,0.09007086051097579,0.08333152750991397,0.0642552603636206,0.045963172037185515,0.02745709363555594,0.02552034801828938,597763,218899,5148,42699,412,48509,0.603832726567456,0.22112171548404563,0.005200273145660176,0.04313256857935972,4.1618347630380584e-4,0.04900156371849834,0.1703071469592253,0.1267402023882607,0.06120287702060688,0.08029329136452557,0.1898774765764043,0.13671878447350228,0.906095282921735,0.03270184005765808,5
florida,2013,0.8,46036,65728,21538187,19714806,1823381,0.9153419459121606,0.08465805408783943,16782417,0,0.20198180604406007,1264607,1410790,1355701,1303984,1263774,1336668,1397101,1467493,1371903,1296374,1097330,826093,549971,578144,16519933,0.07655037099726736,0.08539925676454015,0.0820645580100113,0.07893397630607824,0.07649994706394996,0.0809124346932884,0.08457062144259302,0.08883165567317979,0.0830453125929748,0.07847332068477518,0.06642460353804099,0.0500058323481094,0.03329135777971981,0.03499675210547162,12422961,3246381,94795,643682,14014,1564282,0.5767876841258738,0.15072675337065278,0.004401252528822412,0.029885616649163647,6.506582935694634e-4,0.07262830432292189,0.15218308542804054,0.10105814913310758,0.06882730660754152,0.09974935966625689,0.19262734863876393,0.11283619897732766,0.8851681045688568,0.04600458882360167,6
georgia,2013,0.812,47829,67134,10711908,7933986,2777922,0.7406697294263543,0.2593302705736457,7914681,0,NA,715214,754957,708753,707148,677066,708864,695273,679398,605605,509703,388897,257396,156140,147225,7711639,0.09274474596126712,0.09789838450684737,0.09190692147285422,0.09169879451047955,0.08779793763686293,0.09192131530015862,0.09015891433714675,0.08810033768437553,0.07853129535757573,0.06609528791479996,0.050429876191040585,0.03337759975538274,0.020247317074878635,0.019091272296330262,5555483,3320513,50618,479028,7299,555059,0.5186268403350738,0.30998333816907314,0.0047253953263975005,0.044719204085770715,6.81391214338286e-4,0.05181700589661525,0.172337962831351,0.10360493366694122,0.07671918158202225,0.08000071465069661,0.19685925311855698,0.12511404038491086,0.8787019084746853,0.044578909943292465,7
